n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,100,1.0,1,1.0,0.01,48,1000,472947.3882936637,4729.473882936637,1.0,1462.5226031342866
100,100,1.0,1,1.0,0.01,49,1000,452719.7062273119,4527.19706227312,1.0,1442.538595881175
100,100,1.0,1,1.0,0.02,0,1000,494022.721990687,4940.22721990687,1.0,937.8878047127537
100,100,1.0,1,1.0,0.02,1,1000,506014.87968406314,5060.148796840632,1.0,1083.8394015240528
100,100,1.0,1,1.0,0.02,2,1000,496052.4108047528,4960.524108047528,1.0,1047.5278724466903
100,100,1.0,1,1.0,0.02,3,1000,493733.00320903945,4937.3300320903945,1.0,1053.261392238272
100,100,1.0,1,1.0,0.02,4,1000,498700.3875682958,4987.003875682958,1.0,1069.342771246368
100,100,1.0,1,1.0,0.02,5,1000,500566.4359031268,5005.664359031268,1.0,1029.5609379349262
100,100,1.0,1,1.0,0.02,6,1000,495255.5354991097,4952.555354991097,1.0,975.0222839098304
100,100,1.0,1,1.0,0.02,7,1000,492827.0611502581,4928.270611502581,1.0,972.3221709145549
100,100,1.0,1,1.0,0.02,8,1000,499992.58540100226,4999.925854010023,1.0,999.6918911161823
100,100,1.0,1,1.0,0.02,9,1000,488474.6923054023,4884.746923054023,1.0,1049.04777955093
100,100,1.0,1,1.0,0.02,10,1000,493969.33119647193,4939.693311964719,1.0,1041.4600101444535
100,100,1.0,1,1.0,0.02,11,1000,492443.7320438485,4924.437320438485,1.0,927.2386769737594
100,100,1.0,1,1.0,0.02,12,1000,495039.2837939919,4950.3928379399185,1.0,982.1210900975894
100,100,1.0,1,1.0,0.02,13,1000,495708.8693177936,4957.088693177936,1.0,1052.1575809303486
100,100,1.0,1,1.0,0.02,14,1000,489563.1291003467,4895.631291003467,1.0,958.3071026816217
100,100,1.0,1,1.0,0.02,15,1000,492076.67796835926,4920.766779683592,1.0,996.3892717410553
100,100,1.0,1,1.0,0.02,16,1000,490604.4638396264,4906.044638396264,1.0,1033.6913769869964
100,100,1.0,1,1.0,0.02,17,1000,492619.20011335623,4926.192001133562,1.0,924.7790701652822
100,100,1.0,1,1.0,0.02,18,1000,497120.91726775386,4971.209172677539,1.0,996.35803724366
100,100,1.0,1,1.0,0.02,19,1000,492702.049790523,4927.0204979052305,1.0,1049.47035534082
100,100,1.0,1,1.0,0.02,20,1000,505445.1575466182,5054.451575466182,1.0,1155.9704761333176
100,100,1.0,1,1.0,0.02,21,1000,494339.9628024216,4943.399628024216,1.0,1060.2588335944858
100,100,1.0,1,1.0,0.02,22,1000,497027.0049128127,4970.2700491281275,1.0,1080.6706223694134
100,100,1.0,1,1.0,0.02,23,1000,496596.5260239827,4965.965260239826,1.0,1153.4258073420738
100,100,1.0,1,1.0,0.02,24,1000,493018.6695073124,4930.186695073124,1.0,943.9676858911796
100,100,1.0,1,1.0,0.02,25,1000,496510.1879473151,4965.101879473151,1.0,987.8038978948734
100,100,1.0,1,1.0,0.02,26,1000,500769.8150889245,5007.698150889245,1.0,1075.7163824592535
