n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,50,2.0,2,1.0,0.04,32,1000,105669.02463018769,1056.6902463018769,1.0,141.99441957101087
100,50,2.0,2,1.0,0.04,33,1000,105728.5718480615,1057.285718480615,1.0,128.6734156317103
100,50,2.0,2,1.0,0.04,34,1000,105922.29196126033,1059.2229196126034,1.0,137.61924323342043
100,50,2.0,2,1.0,0.04,35,1000,105855.55351392951,1058.555535139295,1.0,131.31845351151873
100,50,2.0,2,1.0,0.04,36,1000,105503.70036934626,1055.0370036934626,1.0,130.4627928887958
100,50,2.0,2,1.0,0.04,37,1000,106180.99981794323,1061.8099981794323,1.0,124.61533624859007
100,50,2.0,2,1.0,0.04,38,1000,106590.8354633328,1065.908354633328,1.0,146.96921112772503
100,50,2.0,2,1.0,0.04,39,1000,105600.38685465355,1056.0038685465356,1.0,131.3920742506583
100,50,2.0,2,1.0,0.04,40,1000,106371.71340196708,1063.7171340196708,1.0,136.00043864565382
100,50,2.0,2,1.0,0.04,41,1000,105184.13747541579,1051.8413747541579,1.0,123.16283831799292
100,50,2.0,2,1.0,0.04,42,1000,105704.18023788942,1057.0418023788943,1.0,135.32118800075204
100,50,2.0,2,1.0,0.04,43,1000,104200.48239477129,1042.0048239477128,1.0,129.58768393674484
100,50,2.0,2,1.0,0.04,44,1000,105665.46524154692,1056.6546524154692,1.0,122.9634239566405
100,50,2.0,2,1.0,0.04,45,1000,106257.27497592419,1062.5727497592418,1.0,128.650505603261
100,50,2.0,2,1.0,0.04,46,1000,106187.07385646446,1061.8707385646446,1.0,137.17644948963581
100,50,2.0,2,1.0,0.04,47,1000,106828.55447735668,1068.2855447735667,1.0,147.80089325423785
100,50,2.0,2,1.0,0.04,48,1000,105476.11341392231,1054.761134139223,1.0,121.4556947091562
100,50,2.0,2,1.0,0.04,49,1000,105425.78981012339,1054.2578981012339,1.0,127.1889276520787
100,50,2.0,2,1.0,0.05,0,1000,105722.48716109947,1057.2248716109948,1.0,147.13037319038995
