collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
zero_on_collision,100,100,1.0,1,1.0,0.02,18,1000,520825.4874510689,5208.254874510689,1.0,3380.44402161138
zero_on_collision,100,100,1.0,1,1.0,0.02,19,1000,503327.90321506583,5033.279032150658,1.0,3309.7624456958138
zero_on_collision,100,100,1.0,1,1.0,0.02,20,1000,497983.8528306917,4979.838528306917,1.0,3380.7131398909114
zero_on_collision,100,100,1.0,1,1.0,0.02,21,1000,513308.9902042039,5133.089902042038,1.0,3322.754826030761
zero_on_collision,100,100,1.0,1,1.0,0.02,22,1000,509605.75868957903,5096.05758689579,1.0,3342.4605786879342
zero_on_collision,100,100,1.0,1,1.0,0.02,23,1000,521245.1486189785,5212.451486189785,1.0,3382.7373448540748
zero_on_collision,100,100,1.0,1,1.0,0.02,24,1000,519178.0060197167,5191.780060197167,1.0,3337.452386894581
zero_on_collision,100,100,1.0,1,1.0,0.02,25,1000,518538.14232826687,5185.381423282669,1.0,3361.786246630354
zero_on_collision,100,100,1.0,1,1.0,0.02,26,1000,518070.9496016977,5180.709496016977,1.0,3478.64408098408
zero_on_collision,100,100,1.0,1,1.0,0.02,27,1000,510869.0085915659,5108.6900859156585,1.0,3312.2857651676422
zero_on_collision,100,100,1.0,1,1.0,0.02,28,1000,498615.9132922958,4986.159132922959,1.0,3347.075158414298
zero_on_collision,100,100,1.0,1,1.0,0.02,29,1000,505675.86324657226,5056.758632465722,1.0,3335.8171306602894
zero_on_collision,100,100,1.0,1,1.0,0.02,30,1000,513708.4404981958,5137.084404981958,1.0,3344.324257723387
zero_on_collision,100,100,1.0,1,1.0,0.02,31,1000,526530.737092025,5265.30737092025,1.0,3381.6909366167506
zero_on_collision,100,100,1.0,1,1.0,0.02,32,1000,525159.0910697711,5251.590910697711,1.0,3372.9503518200477
zero_on_collision,100,100,1.0,1,1.0,0.02,33,1000,511193.5393142043,5111.935393142043,1.0,3390.703126974598
zero_on_collision,100,100,1.0,1,1.0,0.02,34,1000,519090.43916207715,5190.904391620771,1.0,3385.686249334341
zero_on_collision,100,100,1.0,1,1.0,0.02,35,1000,508377.3099364097,5083.773099364097,1.0,3369.518145141016
zero_on_collision,100,100,1.0,1,1.0,0.02,36,1000,515244.02221341815,5152.440222134182,1.0,3361.2216335818557
zero_on_collision,100,100,1.0,1,1.0,0.02,37,1000,514086.3086239184,5140.863086239184,1.0,3279.698766834382
zero_on_collision,100,100,1.0,1,1.0,0.02,38,1000,518856.5810555957,5188.565810555957,1.0,3255.9132605473783
zero_on_collision,100,100,1.0,1,1.0,0.02,39,1000,507720.1124654044,5077.201124654044,1.0,3378.1069666769563
zero_on_collision,100,100,1.0,1,1.0,0.02,40,1000,507590.66089657834,5075.906608965784,1.0,3282.5002792516375
zero_on_collision,100,100,1.0,1,1.0,0.02,41,1000,516604.19248453237,5166.041924845324,1.0,3379.1479810072533
zero_on_collision,100,100,1.0,1,1.0,0.02,42,1000,511976.3624279762,5119.763624279763,1.0,3348.281351030537
zero_on_collision,100,100,1.0,1,1.0,0.02,43,1000,518025.7321238967,5180.257321238967,1.0,3328.031437009127
zero_on_collision,100,100,1.0,1,1.0,0.02,44,1000,520097.5761361637,5200.9757613616375,1.0,3349.6864368597653
zero_on_collision,100,100,1.0,1,1.0,0.02,45,1000,506584.426461219,5065.844264612189,1.0,3290.097780931421
zero_on_collision,100,100,1.0,1,1.0,0.02,46,1000,522581.9892707816,5225.819892707816,1.0,3269.342388507868
zero_on_collision,100,100,1.0,1,1.0,0.02,47,1000,502811.84206785494,5028.118420678549,1.0,3286.374246933493
zero_on_collision,100,100,1.0,1,1.0,0.02,48,1000,519452.1783756758,5194.521783756758,1.0,3350.9703882686294
zero_on_collision,100,100,1.0,1,1.0,0.02,49,1000,512514.0915546113,5125.140915546112,1.0,3310.377064770849
zero_on_collision,100,100,1.0,1,1.0,0.03,0,1000,530942.8225221755,5309.428225221755,1.0,3283.1470343202973
zero_on_collision,100,100,1.0,1,1.0,0.03,1,1000,514871.7342886427,5148.717342886427,1.0,3317.2956060194124
zero_on_collision,100,100,1.0,1,1.0,0.03,2,1000,513579.8866400904,5135.7988664009035,1.0,3274.3291263480087
zero_on_collision,100,100,1.0,1,1.0,0.03,3,1000,509138.8508995618,5091.3885089956175,1.0,3255.3426622031834
