collision_policy,degradation_strength,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
degradation,0.5,100,100,1.0,1,1.0,0.02,14,1000,444325.46172184125,4443.254617218412,1.0,1520.691297219936
degradation,0.5,100,100,1.0,1,1.0,0.02,15,1000,452755.32793527894,4527.553279352789,1.0,1590.127410549324
degradation,0.5,100,100,1.0,1,1.0,0.02,16,1000,440878.60781271174,4408.786078127117,1.0,1535.9337964747444
degradation,0.5,100,100,1.0,1,1.0,0.02,17,1000,448829.07407118136,4488.290740711814,1.0,1415.8097903096584
degradation,0.5,100,100,1.0,1,1.0,0.02,18,1000,443366.08916832675,4433.660891683267,1.0,1494.0310240701958
degradation,0.5,100,100,1.0,1,1.0,0.02,19,1000,445589.1725730575,4455.891725730576,1.0,1508.982504090034
degradation,0.5,100,100,1.0,1,1.0,0.02,20,1000,447296.71528354014,4472.967152835401,1.0,1487.3687548995038
degradation,0.5,100,100,1.0,1,1.0,0.02,21,1000,447844.5260316841,4478.445260316841,1.0,1459.6914104980906
degradation,0.5,100,100,1.0,1,1.0,0.02,22,1000,440296.7855072213,4402.967855072213,1.0,1391.3794900104074
degradation,0.5,100,100,1.0,1,1.0,0.02,23,1000,438698.94563270005,4386.989456327001,1.0,1376.419200041529
degradation,0.5,100,100,1.0,1,1.0,0.02,24,1000,441402.12160838937,4414.021216083894,1.0,1395.6605821440244
degradation,0.5,100,100,1.0,1,1.0,0.02,25,1000,445915.45981125266,4459.154598112526,1.0,1536.7515368210377
degradation,0.5,100,100,1.0,1,1.0,0.02,26,1000,451214.4106267085,4512.144106267085,1.0,1419.9113101622245
degradation,0.5,100,100,1.0,1,1.0,0.02,27,1000,438983.70567768614,4389.837056776862,1.0,1465.2794800810393
degradation,0.5,100,100,1.0,1,1.0,0.02,28,1000,434859.33751760994,4348.5933751760995,1.0,1356.8554694436955
degradation,0.5,100,100,1.0,1,1.0,0.02,29,1000,435376.43867812,4353.764386781199,1.0,1447.5683766836848
degradation,0.5,100,100,1.0,1,1.0,0.02,30,1000,440103.3256218865,4401.033256218865,1.0,1488.093265053489
degradation,0.5,100,100,1.0,1,1.0,0.02,31,1000,440476.69487012073,4404.766948701207,1.0,1449.914054086292
degradation,0.5,100,100,1.0,1,1.0,0.02,32,1000,450377.6157787316,4503.776157787316,1.0,1482.5983222580637
degradation,0.5,100,100,1.0,1,1.0,0.02,33,1000,440132.67234854726,4401.326723485473,1.0,1458.1036346748235
degradation,0.5,100,100,1.0,1,1.0,0.02,34,1000,432327.47261157504,4323.27472611575,1.0,1344.8945757494023
degradation,0.5,100,100,1.0,1,1.0,0.02,35,1000,443783.06651497184,4437.830665149719,1.0,1526.0872169669017
degradation,0.5,100,100,1.0,1,1.0,0.02,36,1000,436924.14071331226,4369.241407133122,1.0,1321.0420106934978
degradation,0.5,100,100,1.0,1,1.0,0.02,37,1000,441956.0797586717,4419.560797586717,1.0,1496.7974016921473
degradation,0.5,100,100,1.0,1,1.0,0.02,38,1000,444479.19355830067,4444.791935583006,1.0,1464.3208236403773
degradation,0.5,100,100,1.0,1,1.0,0.02,39,1000,444542.6246638937,4445.426246638937,1.0,1620.8890433259046
degradation,0.5,100,100,1.0,1,1.0,0.02,40,1000,444022.88350550446,4440.228835055044,1.0,1538.8299014711706
degradation,0.5,100,100,1.0,1,1.0,0.02,41,1000,444178.5513831879,4441.785513831879,1.0,1580.9427934282962
degradation,0.5,100,100,1.0,1,1.0,0.02,42,1000,439054.9586864981,4390.549586864981,1.0,1469.2493728779423
degradation,0.5,100,100,1.0,1,1.0,0.02,43,1000,435445.16072441434,4354.451607244144,1.0,1381.1999367998994
degradation,0.5,100,100,1.0,1,1.0,0.02,44,1000,452438.5847595826,4524.385847595826,1.0,1652.4252467468575
degradation,0.5,100,100,1.0,1,1.0,0.02,45,1000,446186.4220740524,4461.864220740524,1.0,1582.6448834576784
degradation,0.5,100,100,1.0,1,1.0,0.02,46,1000,440811.6840234853,4408.116840234853,1.0,1584.8645230346795
degradation,0.5,100,100,1.0,1,1.0,0.02,47,1000,437323.90424511035,4373.239042451103,1.0,1531.6659693124348
degradation,0.5,100,100,1.0,1,1.0,0.02,48,1000,448744.4742381236,4487.444742381236,1.0,1529.2997053988122
degradation,0.5,100,100,1.0,1,1.0,0.02,49,1000,435384.3394404598,4353.843394404598,1.0,1403.2222585291931
degradation,0.5,100,100,1.0,1,1.0,0.03,0,1000,456453.29879553244,4564.532987955325,1.0,1416.7105634001343
degradation,0.5,100,100,1.0,1,1.0,0.03,1,1000,461299.3099798104,4612.993099798104,1.0,1537.830374213775
degradation,0.5,100,100,1.0,1,1.0,0.03,2,1000,448799.9226896391,4487.999226896391,1.0,1469.6968057347765
degradation,0.5,100,100,1.0,1,1.0,0.03,3,1000,442804.83046838304,4428.048304683831,1.0,1360.578489325711
degradation,0.5,100,100,1.0,1,1.0,0.03,4,1000,450747.54010368953,4507.475401036895,1.0,1413.2123232020208
degradation,0.5,100,100,1.0,1,1.0,0.03,5,1000,454544.8653812201,4545.448653812201,1.0,1424.0184406561739
degradation,0.5,100,100,1.0,1,1.0,0.03,6,1000,444844.6547738506,4448.446547738506,1.0,1333.5817326280862
degradation,0.5,100,100,1.0,1,1.0,0.03,7,1000,448532.6580072696,4485.326580072696,1.0,1336.0782254624112
degradation,0.5,100,100,1.0,1,1.0,0.03,8,1000,444165.5558878698,4441.655558878698,1.0,1352.102767876463
degradation,0.5,100,100,1.0,1,1.0,0.03,9,1000,450831.76839211397,4508.31768392114,1.0,1427.77104037238
degradation,0.5,100,100,1.0,1,1.0,0.03,10,1000,445568.6103295391,4455.686103295391,1.0,1412.4641964131522
degradation,0.5,100,100,1.0,1,1.0,0.03,11,1000,454160.97403520066,4541.609740352007,1.0,1452.2753562106345
degradation,0.5,100,100,1.0,1,1.0,0.03,12,1000,449823.311315265,4498.23311315265,1.0,1560.2640287623788
degradation,0.5,100,100,1.0,1,1.0,0.03,13,1000,451103.9141800777,4511.0391418007775,1.0,1516.0328994107592
degradation,0.5,100,100,1.0,1,1.0,0.03,14,1000,444262.18701335427,4442.621870133543,1.0,1354.6906234750415
degradation,0.5,100,100,1.0,1,1.0,0.03,15,1000,445632.86704759934,4456.328670475993,1.0,1405.7021047961193
degradation,0.5,100,100,1.0,1,1.0,0.03,16,1000,458976.45170719444,4589.764517071944,1.0,1404.320913700864
degradation,0.5,100,100,1.0,1,1.0,0.03,17,1000,446487.7028249184,4464.877028249184,1.0,1446.3256234245416
degradation,0.5,100,100,1.0,1,1.0,0.03,18,1000,458452.4312123082,4584.5243121230815,1.0,1446.8731220893196
degradation,0.5,100,100,1.0,1,1.0,0.03,19,1000,440902.358982131,4409.02358982131,1.0,1279.7671584543332
degradation,0.5,100,100,1.0,1,1.0,0.03,20,1000,454986.96976969315,4549.869697696931,1.0,1341.3557341876108
degradation,0.5,100,100,1.0,1,1.0,0.03,21,1000,451105.4127697518,4511.054127697518,1.0,1409.7854463737588
degradation,0.5,100,100,1.0,1,1.0,0.03,22,1000,446732.17732357915,4467.321773235792,1.0,1329.0253988337436
degradation,0.5,100,100,1.0,1,1.0,0.03,23,1000,452680.0815366141,4526.800815366141,1.0,1386.0016957631542
degradation,0.5,100,100,1.0,1,1.0,0.03,24,1000,441927.9443816733,4419.279443816733,1.0,1272.3848577185727
degradation,0.5,100,100,1.0,1,1.0,0.03,25,1000,428697.9594894484,4286.979594894484,1.0,1322.5294682553229
degradation,0.5,100,100,1.0,1,1.0,0.03,26,1000,452939.9095551907,4529.3990955519075,1.0,1569.0688626017575
degradation,0.5,100,100,1.0,1,1.0,0.03,27,1000,450873.16482548486,4508.731648254849,1.0,1500.6642566740397
degradation,0.5,100,100,1.0,1,1.0,0.03,28,1000,456975.97843470616,4569.759784347061,1.0,1467.5754370088487
degradation,0.5,100,100,1.0,1,1.0,0.03,29,1000,449658.89350526495,4496.5889350526495,1.0,1437.3771366209344
degradation,0.5,100,100,1.0,1,1.0,0.03,30,1000,455592.7464928518,4555.927464928518,1.0,1449.7866208321987
degradation,0.5,100,100,1.0,1,1.0,0.03,31,1000,450846.7080574049,4508.467080574049,1.0,1398.6300161836912
degradation,0.5,100,100,1.0,1,1.0,0.03,32,1000,445651.0801000937,4456.510801000937,1.0,1343.3744228267674
degradation,0.5,100,100,1.0,1,1.0,0.03,33,1000,443892.4458359045,4438.924458359045,1.0,1352.161899185212
degradation,0.5,100,100,1.0,1,1.0,0.03,34,1000,449595.26348675374,4495.952634867537,1.0,1338.0049854009878
degradation,0.5,100,100,1.0,1,1.0,0.03,35,1000,455439.6534145671,4554.3965341456715,1.0,1460.4101451280858
degradation,0.5,100,100,1.0,1,1.0,0.03,36,1000,451574.4365971504,4515.744365971504,1.0,1334.7353804554941
degradation,0.5,100,100,1.0,1,1.0,0.03,37,1000,450894.0109257088,4508.940109257088,1.0,1521.7414148470114
degradation,0.5,100,100,1.0,1,1.0,0.03,38,1000,449779.9043823948,4497.799043823948,1.0,1369.6874498091258
degradation,0.5,100,100,1.0,1,1.0,0.03,39,1000,448262.58828357694,4482.6258828357695,1.0,1397.9875154747724
degradation,0.5,100,100,1.0,1,1.0,0.03,40,1000,446173.6509620407,4461.736509620407,1.0,1427.9237881387278
degradation,0.5,100,100,1.0,1,1.0,0.03,41,1000,452595.81210958405,4525.95812109584,1.0,1461.8109228841017
degradation,0.5,100,100,1.0,1,1.0,0.03,42,1000,454910.04323090345,4549.100432309035,1.0,1547.1807675948278
degradation,0.5,100,100,1.0,1,1.0,0.03,43,1000,449169.8059263051,4491.698059263052,1.0,1379.3334668467194
degradation,0.5,100,100,1.0,1,1.0,0.03,44,1000,455527.2403424369,4555.272403424369,1.0,1524.563008551575
degradation,0.5,100,100,1.0,1,1.0,0.03,45,1000,454426.13814415707,4544.261381441571,1.0,1554.400275246875
