collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
zero_on_collision,100,50,2.0,2,1.0,0.03,10,1000,73710.37436896266,737.1037436896265,1.0,1051.2939228617959
zero_on_collision,100,50,2.0,2,1.0,0.03,11,1000,74786.46805453999,747.8646805453999,1.0,1077.90597551293
zero_on_collision,100,50,2.0,2,1.0,0.03,12,1000,72920.63648062435,729.2063648062435,1.0,955.1601230581399
zero_on_collision,100,50,2.0,2,1.0,0.03,13,1000,66078.55687525384,660.7855687525384,1.0,962.4955290227821
zero_on_collision,100,50,2.0,2,1.0,0.03,14,1000,76403.80348887472,764.0380348887472,1.0,1072.261849879004
zero_on_collision,100,50,2.0,2,1.0,0.03,15,1000,74417.35882709475,744.1735882709476,1.0,1104.5260564438665
zero_on_collision,100,50,2.0,2,1.0,0.03,16,1000,72945.77458494001,729.4577458494001,1.0,1021.0395329552209
zero_on_collision,100,50,2.0,2,1.0,0.03,17,1000,67505.91317392103,675.0591317392103,1.0,996.9445860311847
zero_on_collision,100,50,2.0,2,1.0,0.03,18,1000,71957.85046657959,719.5785046657959,1.0,997.6007382905431
zero_on_collision,100,50,2.0,2,1.0,0.03,19,1000,72791.18418029363,727.9118418029362,1.0,992.3420546468079
zero_on_collision,100,50,2.0,2,1.0,0.03,20,1000,61862.438208986074,618.6243820898608,1.0,871.5049289527308
zero_on_collision,100,50,2.0,2,1.0,0.03,21,1000,80469.77828009624,804.6977828009625,1.0,1132.3146911990934
zero_on_collision,100,50,2.0,2,1.0,0.03,22,1000,65777.52434831858,657.7752434831858,1.0,945.2025013748198
zero_on_collision,100,50,2.0,2,1.0,0.03,23,1000,67815.82723492627,678.1582723492627,1.0,1028.5795770627692
zero_on_collision,100,50,2.0,2,1.0,0.03,24,1000,82137.75040434461,821.3775040434462,1.0,1165.0247988311553
zero_on_collision,100,50,2.0,2,1.0,0.03,25,1000,71247.56251421459,712.4756251421459,1.0,970.7670591789374
zero_on_collision,100,50,2.0,2,1.0,0.03,26,1000,74472.37235320431,744.7237235320431,1.0,1013.3929806588967
zero_on_collision,100,50,2.0,2,1.0,0.03,27,1000,84132.73190569476,841.3273190569475,1.0,1152.3616120641286
zero_on_collision,100,50,2.0,2,1.0,0.03,28,1000,69723.0146182582,697.230146182582,1.0,1012.2433205382303
zero_on_collision,100,50,2.0,2,1.0,0.03,29,1000,69179.44787530965,691.7944787530964,1.0,1028.2968485318243
zero_on_collision,100,50,2.0,2,1.0,0.03,30,1000,78057.19271118878,780.5719271118878,1.0,1063.0824368782878
zero_on_collision,100,50,2.0,2,1.0,0.03,31,1000,65566.9040896279,655.6690408962791,1.0,985.073922560793
zero_on_collision,100,50,2.0,2,1.0,0.03,32,1000,82194.65430114779,821.946543011478,1.0,1135.29810420685
zero_on_collision,100,50,2.0,2,1.0,0.03,33,1000,78101.57257879374,781.0157257879374,1.0,1130.1338136608588
zero_on_collision,100,50,2.0,2,1.0,0.03,34,1000,74239.37708027496,742.3937708027496,1.0,1045.052975863329
zero_on_collision,100,50,2.0,2,1.0,0.03,35,1000,72028.23160927393,720.2823160927394,1.0,1029.3450452648126
zero_on_collision,100,50,2.0,2,1.0,0.03,36,1000,72579.8170324893,725.798170324893,1.0,1017.4912250822962
zero_on_collision,100,50,2.0,2,1.0,0.03,37,1000,79738.62431019379,797.3862431019379,1.0,1121.5052164540732
zero_on_collision,100,50,2.0,2,1.0,0.03,38,1000,71479.29573386603,714.7929573386604,1.0,1034.5382733653237
zero_on_collision,100,50,2.0,2,1.0,0.03,39,1000,66753.41536528815,667.5341536528815,1.0,1006.2816817736199
zero_on_collision,100,50,2.0,2,1.0,0.03,40,1000,71540.6003474909,715.406003474909,1.0,1043.6079933324495
zero_on_collision,100,50,2.0,2,1.0,0.03,41,1000,71446.10060742644,714.4610060742644,1.0,1028.161426959179
zero_on_collision,100,50,2.0,2,1.0,0.03,42,1000,69352.22755676505,693.5222755676505,1.0,968.8008003508488
zero_on_collision,100,50,2.0,2,1.0,0.03,43,1000,72762.53924301309,727.6253924301309,1.0,1070.3786767824702
zero_on_collision,100,50,2.0,2,1.0,0.03,44,1000,77851.26523076995,778.5126523076995,1.0,1148.2924015421058
zero_on_collision,100,50,2.0,2,1.0,0.03,45,1000,67474.52621034245,674.7452621034245,1.0,963.1976055477332
zero_on_collision,100,50,2.0,2,1.0,0.03,46,1000,72729.29272877371,727.2929272877371,1.0,1038.2969011876278
zero_on_collision,100,50,2.0,2,1.0,0.03,47,1000,73317.61037757054,733.1761037757054,1.0,1010.3005235362291
zero_on_collision,100,50,2.0,2,1.0,0.03,48,1000,73577.79714960113,735.7779714960113,1.0,1059.1234884253863
zero_on_collision,100,50,2.0,2,1.0,0.03,49,1000,71042.3088879027,710.4230888790271,1.0,1043.3919265884329
zero_on_collision,100,50,2.0,2,1.0,0.04,0,1000,55363.59238000371,553.6359238000372,1.0,777.6910163157885
zero_on_collision,100,50,2.0,2,1.0,0.04,1,1000,57429.02832578686,574.2902832578686,1.0,862.8553733693059
zero_on_collision,100,50,2.0,2,1.0,0.04,2,1000,65711.74919643084,657.1174919643084,1.0,894.7047700686032
zero_on_collision,100,50,2.0,2,1.0,0.04,3,1000,65853.12657067736,658.5312657067735,1.0,958.559666277978
zero_on_collision,100,50,2.0,2,1.0,0.04,4,1000,54235.601423961205,542.356014239612,1.0,830.1037424969466
zero_on_collision,100,50,2.0,2,1.0,0.04,5,1000,53745.625556169674,537.4562555616967,1.0,810.5554928151622
zero_on_collision,100,50,2.0,2,1.0,0.04,6,1000,59920.39199461096,599.2039199461096,1.0,880.4015165660271
zero_on_collision,100,50,2.0,2,1.0,0.04,7,1000,61595.393744030865,615.9539374403087,1.0,875.063009999673
zero_on_collision,100,50,2.0,2,1.0,0.04,8,1000,58585.86353836093,585.8586353836093,1.0,862.1607447927862
zero_on_collision,100,50,2.0,2,1.0,0.04,9,1000,60274.04673359194,602.7404673359193,1.0,909.9878912832273
zero_on_collision,100,50,2.0,2,1.0,0.04,10,1000,62248.39790820683,622.4839790820683,1.0,888.8091398073161
zero_on_collision,100,50,2.0,2,1.0,0.04,11,1000,67945.84482807848,679.4584482807848,1.0,929.7028069811003
zero_on_collision,100,50,2.0,2,1.0,0.04,12,1000,59327.02036503632,593.2702036503632,1.0,823.7019384419233
zero_on_collision,100,50,2.0,2,1.0,0.04,13,1000,64350.12270832506,643.5012270832507,1.0,948.7338652850423
zero_on_collision,100,50,2.0,2,1.0,0.04,14,1000,55685.893166429145,556.8589316642915,1.0,831.7690747274394
zero_on_collision,100,50,2.0,2,1.0,0.04,15,1000,63374.10464035764,633.7410464035764,1.0,958.1632170225411
zero_on_collision,100,50,2.0,2,1.0,0.04,16,1000,56624.50941509939,566.2450941509939,1.0,840.7961173713198
zero_on_collision,100,50,2.0,2,1.0,0.04,17,1000,54833.7313015628,548.3373130156281,1.0,805.1440045369708
zero_on_collision,100,50,2.0,2,1.0,0.04,18,1000,60304.34557004634,603.0434557004634,1.0,773.0545400069802
zero_on_collision,100,50,2.0,2,1.0,0.04,19,1000,61287.66980672196,612.8766980672196,1.0,866.4935344595718
zero_on_collision,100,50,2.0,2,1.0,0.04,20,1000,62527.93512843349,625.2793512843349,1.0,809.9464017392496
zero_on_collision,100,50,2.0,2,1.0,0.04,21,1000,64352.06704103932,643.5206704103932,1.0,920.1277876143919
zero_on_collision,100,50,2.0,2,1.0,0.04,22,1000,58416.07299563849,584.1607299563849,1.0,878.6621648851885
zero_on_collision,100,50,2.0,2,1.0,0.04,23,1000,60706.32545309487,607.0632545309487,1.0,854.8954874142893
zero_on_collision,100,50,2.0,2,1.0,0.04,24,1000,64239.36794990775,642.3936794990775,1.0,930.5860505615838
zero_on_collision,100,50,2.0,2,1.0,0.04,25,1000,66471.66208992818,664.7166208992818,1.0,951.3493361100068
zero_on_collision,100,50,2.0,2,1.0,0.04,26,1000,58607.69341983517,586.0769341983516,1.0,793.8751137349017
zero_on_collision,100,50,2.0,2,1.0,0.04,27,1000,62477.428069869224,624.7742806986922,1.0,982.7695832515755
zero_on_collision,100,50,2.0,2,1.0,0.04,28,1000,53176.07982395198,531.7607982395198,1.0,797.3663812928306
zero_on_collision,100,50,2.0,2,1.0,0.04,29,1000,65345.368754314746,653.4536875431475,1.0,954.4572091356654
zero_on_collision,100,50,2.0,2,1.0,0.04,30,1000,60498.838053204214,604.9883805320421,1.0,866.1105570474556
zero_on_collision,100,50,2.0,2,1.0,0.04,31,1000,57739.99395301936,577.3999395301936,1.0,815.1514484635466
zero_on_collision,100,50,2.0,2,1.0,0.04,32,1000,57093.35687218744,570.9335687218744,1.0,874.4345996390239
zero_on_collision,100,50,2.0,2,1.0,0.04,33,1000,66641.91629973608,666.4191629973608,1.0,964.3701942885943
zero_on_collision,100,50,2.0,2,1.0,0.04,34,1000,70431.96228499166,704.3196228499166,1.0,1024.422545912948
zero_on_collision,100,50,2.0,2,1.0,0.04,35,1000,57688.73434948038,576.8873434948038,1.0,844.4923679468853
zero_on_collision,100,50,2.0,2,1.0,0.04,36,1000,64070.91491695776,640.7091491695776,1.0,926.0935253432341
zero_on_collision,100,50,2.0,2,1.0,0.04,37,1000,66181.89852816939,661.8189852816939,1.0,940.0942213391348
zero_on_collision,100,50,2.0,2,1.0,0.04,38,1000,57284.49846158064,572.8449846158064,1.0,875.5783682083571
zero_on_collision,100,50,2.0,2,1.0,0.04,39,1000,64821.08577281888,648.2108577281888,1.0,885.4728905197117
zero_on_collision,100,50,2.0,2,1.0,0.04,40,1000,59153.422090901666,591.5342209090167,1.0,841.6430523709037
zero_on_collision,100,50,2.0,2,1.0,0.04,41,1000,57235.932380976315,572.3593238097632,1.0,808.6205715292949
zero_on_collision,100,50,2.0,2,1.0,0.04,42,1000,64869.430819395806,648.694308193958,1.0,1000.526287347399
zero_on_collision,100,50,2.0,2,1.0,0.04,43,1000,54139.50869697599,541.3950869697599,1.0,771.6035561191293
zero_on_collision,100,50,2.0,2,1.0,0.04,44,1000,63602.40453796344,636.0240453796345,1.0,930.3818605091088
zero_on_collision,100,50,2.0,2,1.0,0.04,45,1000,61815.13957763161,618.1513957763161,1.0,880.0879592746192
zero_on_collision,100,50,2.0,2,1.0,0.04,46,1000,58072.76054069481,580.7276054069481,1.0,895.2274746202987
zero_on_collision,100,50,2.0,2,1.0,0.04,47,1000,58188.0316594695,581.880316594695,1.0,848.729598356002
zero_on_collision,100,50,2.0,2,1.0,0.04,48,1000,57879.7167817048,578.797167817048,1.0,914.4364391919457
