n_agents,n_arms,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
1,3,0.5,0.05,6,1000,1837.1850982753183,1837.1850982753183,0.0,0.0
1,3,0.5,0.05,7,1000,1980.935607292196,1980.935607292196,0.0,0.0
1,3,0.5,0.05,8,1000,1962.4252870849673,1962.4252870849673,0.0,0.0
1,3,0.5,0.05,9,1000,1934.494905019259,1934.494905019259,0.0,0.0
1,3,0.5,0.05,10,1000,1939.0217742492982,1939.0217742492982,0.0,0.0
1,3,0.5,0.05,11,1000,1971.9876649845191,1971.9876649845191,0.0,0.0
1,3,0.5,0.05,12,1000,1952.6639120994312,1952.6639120994312,0.0,0.0
1,3,0.5,0.05,13,1000,1978.9738094053437,1978.9738094053437,0.0,0.0
1,3,0.5,0.05,14,1000,1793.6384887706374,1793.6384887706374,0.0,0.0
1,3,0.5,0.05,15,1000,1930.0466739311626,1930.0466739311626,0.0,0.0
1,3,0.5,0.05,16,1000,1952.7158542702412,1952.7158542702412,0.0,0.0
1,3,0.5,0.05,17,1000,1977.9930389610643,1977.9930389610643,0.0,0.0
1,3,0.5,0.05,18,1000,1873.719193861885,1873.719193861885,0.0,0.0
1,3,0.5,0.05,19,1000,1927.9397899143928,1927.9397899143928,0.0,0.0
1,3,0.5,0.05,20,1000,1937.7226415262976,1937.7226415262976,0.0,0.0
1,3,0.5,0.05,21,1000,1866.3065314518917,1866.3065314518917,0.0,0.0
1,3,0.5,0.05,22,1000,1927.2567933289515,1927.2567933289515,0.0,0.0
1,3,0.5,0.05,23,1000,1971.5617184871835,1971.5617184871835,0.0,0.0
1,3,0.5,0.05,24,1000,1813.5563665069221,1813.5563665069221,0.0,0.0
1,3,0.5,0.05,25,1000,1922.6135629916866,1922.6135629916866,0.0,0.0
1,3,0.5,0.05,26,1000,1887.5329669228113,1887.5329669228113,0.0,0.0
1,3,0.5,0.05,27,1000,1947.1358734651087,1947.1358734651087,0.0,0.0
1,3,0.5,0.05,28,1000,1946.808496558349,1946.808496558349,0.0,0.0
1,3,0.5,0.05,29,1000,1954.8634763617854,1954.8634763617854,0.0,0.0
1,3,0.5,0.05,30,1000,1944.0775481157063,1944.0775481157063,0.0,0.0
1,3,0.5,0.05,31,1000,1955.7460313988881,1955.7460313988881,0.0,0.0
1,3,0.5,0.05,32,1000,1960.251726842702,1960.251726842702,0.0,0.0
1,3,0.5,0.05,33,1000,1956.4296793829735,1956.4296793829735,0.0,0.0
1,3,0.5,0.05,34,1000,1911.5004301641561,1911.5004301641561,0.0,0.0
1,3,0.5,0.05,35,1000,1973.352380596834,1973.352380596834,0.0,0.0
1,3,0.5,0.05,36,1000,1896.534785894486,1896.534785894486,0.0,0.0
1,3,0.5,0.05,37,1000,1992.7761283410523,1992.7761283410523,0.0,0.0
1,3,0.5,0.05,38,1000,1948.7091473449073,1948.7091473449073,0.0,0.0
1,3,0.5,0.05,39,1000,1948.0010810719725,1948.0010810719725,0.0,0.0
1,3,0.5,0.05,40,1000,1932.4340918679834,1932.4340918679834,0.0,0.0
1,3,0.5,0.05,41,1000,1933.6534225665284,1933.6534225665284,0.0,0.0
1,3,0.5,0.05,42,1000,1858.2974583416305,1858.2974583416305,0.0,0.0
1,3,0.5,0.05,43,1000,1893.9155763292783,1893.9155763292783,0.0,0.0
1,3,0.5,0.05,44,1000,1787.5684222654447,1787.5684222654447,0.0,0.0
1,3,0.5,0.05,45,1000,2010.2162526516238,2010.2162526516238,0.0,0.0
