n_agents,n_arms,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
2,3,0.1,37,1000,3314.261380230272,1657.130690115136,0.091,210.3651081182104
2,3,0.1,38,1000,3345.5400862837505,1672.7700431418752,0.066,232.86365438454038
2,3,0.1,39,1000,2838.027421014175,1419.0137105070876,0.32,191.06247461600208
2,3,0.1,40,1000,3231.513119496235,1615.7565597481175,0.082,197.14777421742065
2,3,0.1,41,1000,3111.8482179419143,1555.9241089709571,0.19,154.7573966428132
2,3,0.1,42,1000,3228.219617588383,1614.1098087941914,0.062,252.29291445286322
2,3,0.1,43,1000,3169.9252574153134,1584.9626287076567,0.123,137.10719261934207
2,3,0.1,44,1000,3282.651332044366,1641.325666022183,0.102,215.80094193637206
2,3,0.1,45,1000,3301.2030001396006,1650.6015000698003,0.087,232.02280624283856
2,3,0.1,46,1000,3256.5625855290164,1628.2812927645082,0.086,188.19613227200978
2,3,0.1,47,1000,3056.5175120875533,1528.2587560437767,0.252,193.48150420464117
2,3,0.1,48,1000,3325.676650814241,1662.8383254071205,0.073,232.8173057347476
2,3,0.1,49,1000,3227.1122063288985,1613.5561031644493,0.065,295.91178857117814
2,3,0.2,0,1000,3104.8102170653997,1552.4051085326998,0.122,205.92731190012364
2,3,0.2,1,1000,3159.5632506145175,1579.7816253072588,0.11,187.40408931249317
2,3,0.2,2,1000,3107.766181239031,1553.8830906195155,0.142,196.72724253775914
2,3,0.2,3,1000,3161.418751107032,1580.709375553516,0.164,168.49391815630815
2,3,0.2,4,1000,3158.7068047779007,1579.3534023889504,0.124,178.34902698479254
2,3,0.2,5,1000,3143.6815718762077,1571.8407859381039,0.141,221.87549947874095
2,3,0.2,6,1000,3077.8441893352274,1538.9220946676137,0.136,207.06245153789018
2,3,0.2,7,1000,3165.344380471044,1582.672190235522,0.126,212.26389729187702
2,3,0.2,8,1000,3147.650608346961,1573.8253041734804,0.119,209.63220727760086
2,3,0.2,9,1000,3332.217682004518,1666.108841002259,0.111,178.39987813774212
2,3,0.2,10,1000,3137.2601749919095,1568.6300874959547,0.11,182.1977068457029
2,3,0.2,11,1000,3128.2246798301126,1564.1123399150563,0.135,227.5691319640846
2,3,0.2,12,1000,3160.345927598296,1580.172963799148,0.109,209.4166766514976
2,3,0.2,13,1000,3165.0529320064834,1582.5264660032417,0.149,180.16473199580867
2,3,0.2,14,1000,3306.672519939564,1653.336259969782,0.111,204.62967129059132
2,3,0.2,15,1000,3114.128717563922,1557.064358781961,0.135,187.0823034202308
2,3,0.2,16,1000,3255.6673862212774,1627.8336931106387,0.125,176.03910396921185
2,3,0.2,17,1000,3201.271700559973,1600.6358502799865,0.149,192.78420301397296
