collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,50,2.0,2,1.0,0.02,33,1000,350587.8756324521,3505.878756324521,1.0,498.4593340757212
full_value,100,50,2.0,2,1.0,0.02,34,1000,348830.2707109929,3488.302707109929,1.0,417.2371354789787
full_value,100,50,2.0,2,1.0,0.02,35,1000,360979.3766247173,3609.793766247173,1.0,445.3640237516209
full_value,100,50,2.0,2,1.0,0.02,36,1000,356312.3558165778,3563.123558165778,1.0,440.2964029476736
full_value,100,50,2.0,2,1.0,0.02,37,1000,356234.0062833704,3562.3400628337045,1.0,465.41628545409367
full_value,100,50,2.0,2,1.0,0.02,38,1000,359386.4752420992,3593.864752420992,1.0,425.4118571679827
full_value,100,50,2.0,2,1.0,0.02,39,1000,352649.36498179525,3526.4936498179527,1.0,430.7905772270504
full_value,100,50,2.0,2,1.0,0.02,40,1000,356461.62799077685,3564.6162799077683,1.0,427.4434288986653
full_value,100,50,2.0,2,1.0,0.02,41,1000,352408.657885521,3524.08657885521,1.0,497.3169380103456
full_value,100,50,2.0,2,1.0,0.02,42,1000,359611.14975039696,3596.1114975039695,1.0,417.46688363095444
full_value,100,50,2.0,2,1.0,0.02,43,1000,361201.2909014162,3612.0129090141622,1.0,363.24205326215935
full_value,100,50,2.0,2,1.0,0.02,44,1000,356578.88766120083,3565.788876612008,1.0,481.88385234443285
full_value,100,50,2.0,2,1.0,0.02,45,1000,357422.03761521087,3574.2203761521087,1.0,385.28810561388525
full_value,100,50,2.0,2,1.0,0.02,46,1000,350631.3027470174,3506.3130274701743,1.0,376.71850009632016
full_value,100,50,2.0,2,1.0,0.02,47,1000,348539.5067665945,3485.3950676659447,1.0,394.9928705196641
full_value,100,50,2.0,2,1.0,0.02,48,1000,353319.4936233726,3533.194936233726,1.0,454.09193923566215
full_value,100,50,2.0,2,1.0,0.02,49,1000,359154.17612088454,3591.5417612088454,1.0,405.20137787679903
full_value,100,50,2.0,2,1.0,0.03,0,1000,377761.2294885713,3777.612294885713,1.0,269.24125401136723
full_value,100,50,2.0,2,1.0,0.03,1,1000,374851.61866101896,3748.51618661019,1.0,362.439271447202
full_value,100,50,2.0,2,1.0,0.03,2,1000,375092.6308784918,3750.926308784918,1.0,294.6834114785219
full_value,100,50,2.0,2,1.0,0.03,3,1000,366054.78782043775,3660.5478782043774,1.0,399.34262112545304
full_value,100,50,2.0,2,1.0,0.03,4,1000,369199.42422971665,3691.9942422971667,1.0,378.9678629951072
full_value,100,50,2.0,2,1.0,0.03,5,1000,373454.8242785556,3734.548242785556,1.0,381.4422767845517
full_value,100,50,2.0,2,1.0,0.03,6,1000,375705.9167162081,3757.059167162081,1.0,299.0355065980789
full_value,100,50,2.0,2,1.0,0.03,7,1000,374797.4041996504,3747.9740419965037,1.0,342.6492738943997
full_value,100,50,2.0,2,1.0,0.03,8,1000,374765.1158084271,3747.651158084271,1.0,338.5978163693331
full_value,100,50,2.0,2,1.0,0.03,9,1000,372504.92292801075,3725.0492292801077,1.0,332.4245960655507
full_value,100,50,2.0,2,1.0,0.03,10,1000,370801.15523247304,3708.0115523247305,1.0,313.59818473231894
full_value,100,50,2.0,2,1.0,0.03,11,1000,367574.85335235123,3675.7485335235124,1.0,313.5438496251773
full_value,100,50,2.0,2,1.0,0.03,12,1000,372082.3405332708,3720.823405332708,1.0,326.16436322690447
full_value,100,50,2.0,2,1.0,0.03,13,1000,376015.2818452294,3760.152818452294,1.0,308.5980495307798
full_value,100,50,2.0,2,1.0,0.03,14,1000,378660.6982174006,3786.6069821740057,1.0,318.69390755795894
full_value,100,50,2.0,2,1.0,0.03,15,1000,365206.9404203111,3652.0694042031114,1.0,326.48175894855564
full_value,100,50,2.0,2,1.0,0.03,16,1000,372848.3441693666,3728.483441693666,1.0,365.08630922403427
full_value,100,50,2.0,2,1.0,0.03,17,1000,372180.17721616384,3721.8017721616384,1.0,367.18114931055425
full_value,100,50,2.0,2,1.0,0.03,18,1000,372981.458896162,3729.81458896162,1.0,313.0095991357091
full_value,100,50,2.0,2,1.0,0.03,19,1000,363741.68111952,3637.4168111952,1.0,311.27882798917426
full_value,100,50,2.0,2,1.0,0.03,20,1000,368738.23733509966,3687.3823733509967,1.0,360.0505373712787
full_value,100,50,2.0,2,1.0,0.03,21,1000,371672.6643128962,3716.726643128962,1.0,358.33460013499297
full_value,100,50,2.0,2,1.0,0.03,22,1000,372272.95264256804,3722.7295264256804,1.0,337.34939588303047
full_value,100,50,2.0,2,1.0,0.03,23,1000,372387.40517249913,3723.874051724991,1.0,279.2958519587942
full_value,100,50,2.0,2,1.0,0.03,24,1000,370555.8323598571,3705.558323598571,1.0,345.2211058187293
full_value,100,50,2.0,2,1.0,0.03,25,1000,373936.8998947177,3739.368998947177,1.0,300.4597496015935
full_value,100,50,2.0,2,1.0,0.03,26,1000,371611.98299641564,3716.1198299641565,1.0,306.07826461077866
full_value,100,50,2.0,2,1.0,0.03,27,1000,368214.78997060074,3682.1478997060076,1.0,311.4706453129361
full_value,100,50,2.0,2,1.0,0.03,28,1000,368287.92146691045,3682.8792146691044,1.0,354.61588732673704
full_value,100,50,2.0,2,1.0,0.03,29,1000,375252.7619383435,3752.527619383435,1.0,323.0584708081148
full_value,100,50,2.0,2,1.0,0.03,30,1000,371068.7211611707,3710.687211611707,1.0,296.47588163770894
full_value,100,50,2.0,2,1.0,0.03,31,1000,370127.6260614644,3701.2762606146443,1.0,307.96809131810386
full_value,100,50,2.0,2,1.0,0.03,32,1000,374537.64486333105,3745.3764486333107,1.0,314.5813224194795
full_value,100,50,2.0,2,1.0,0.03,33,1000,369644.5561122794,3696.445561122794,1.0,358.327913224112
full_value,100,50,2.0,2,1.0,0.03,34,1000,371401.91577363317,3714.0191577363316,1.0,318.06744242019005
full_value,100,50,2.0,2,1.0,0.03,35,1000,367464.8805266332,3674.6488052663317,1.0,326.22410068448323
full_value,100,50,2.0,2,1.0,0.03,36,1000,370744.1539975916,3707.441539975916,1.0,320.9106015080991
full_value,100,50,2.0,2,1.0,0.03,37,1000,371273.0240317548,3712.730240317548,1.0,339.806558878205
full_value,100,50,2.0,2,1.0,0.03,38,1000,369504.00471519184,3695.0400471519183,1.0,320.82988674476314
full_value,100,50,2.0,2,1.0,0.03,39,1000,369877.02225515014,3698.7702225515013,1.0,363.7549483340933
full_value,100,50,2.0,2,1.0,0.03,40,1000,373583.3452940963,3735.8334529409626,1.0,324.49691846475486
full_value,100,50,2.0,2,1.0,0.03,41,1000,371188.13864960434,3711.8813864960434,1.0,314.8662476049188
full_value,100,50,2.0,2,1.0,0.03,42,1000,374636.09331381496,3746.3609331381494,1.0,292.84699193782654
full_value,100,50,2.0,2,1.0,0.03,43,1000,375463.8278917772,3754.638278917772,1.0,308.17711286353267
full_value,100,50,2.0,2,1.0,0.03,44,1000,375041.88271600264,3750.4188271600265,1.0,285.90511765754644
full_value,100,50,2.0,2,1.0,0.03,45,1000,372816.8677227234,3728.168677227234,1.0,354.7237967204786
full_value,100,50,2.0,2,1.0,0.03,46,1000,369901.9208946829,3699.0192089468287,1.0,283.9655843959747
full_value,100,50,2.0,2,1.0,0.03,47,1000,375447.9037607485,3754.479037607485,1.0,314.67114449086466
full_value,100,50,2.0,2,1.0,0.03,48,1000,371210.7065508587,3712.107065508587,1.0,362.6060373594301
full_value,100,50,2.0,2,1.0,0.03,49,1000,371208.4322368865,3712.0843223688653,1.0,320.9243182091794
full_value,100,50,2.0,2,1.0,0.04,0,1000,386381.7864976959,3863.817864976959,1.0,242.0815192264262
full_value,100,50,2.0,2,1.0,0.04,1,1000,385291.1546012101,3852.911546012101,1.0,218.89479894078042
full_value,100,50,2.0,2,1.0,0.04,2,1000,379978.8179993388,3799.788179993388,1.0,263.8109624121996
full_value,100,50,2.0,2,1.0,0.04,3,1000,381228.2835907907,3812.282835907907,1.0,273.87843156073853
full_value,100,50,2.0,2,1.0,0.04,4,1000,379740.8919199585,3797.4089191995854,1.0,307.10433376633625
full_value,100,50,2.0,2,1.0,0.04,5,1000,380209.0692679818,3802.090692679818,1.0,283.5048327228505
full_value,100,50,2.0,2,1.0,0.04,6,1000,385372.1250015087,3853.7212500150868,1.0,263.5499165146574
full_value,100,50,2.0,2,1.0,0.04,7,1000,381776.0993035747,3817.760993035747,1.0,243.0113012482784
full_value,100,50,2.0,2,1.0,0.04,8,1000,382131.7245879447,3821.317245879447,1.0,271.55224262209134
full_value,100,50,2.0,2,1.0,0.04,9,1000,386391.0906537077,3863.9109065370767,1.0,283.600514201839
full_value,100,50,2.0,2,1.0,0.04,10,1000,382524.6420036934,3825.246420036934,1.0,275.2135719898049
full_value,100,50,2.0,2,1.0,0.04,11,1000,376368.6573809851,3763.686573809851,1.0,285.1263811594518
full_value,100,50,2.0,2,1.0,0.04,12,1000,379692.8886408543,3796.928886408543,1.0,268.32432354623614
full_value,100,50,2.0,2,1.0,0.04,13,1000,385608.96054009174,3856.089605400917,1.0,288.23311517689586
full_value,100,50,2.0,2,1.0,0.04,14,1000,383905.6140010609,3839.056140010609,1.0,279.7722805506531
full_value,100,50,2.0,2,1.0,0.04,15,1000,377857.6024588967,3778.576024588967,1.0,256.08960419544496
full_value,100,50,2.0,2,1.0,0.04,16,1000,385993.7802234292,3859.937802234292,1.0,264.5960569644144
full_value,100,50,2.0,2,1.0,0.04,17,1000,378714.81008566945,3787.1481008566943,1.0,273.5998440192638
full_value,100,50,2.0,2,1.0,0.04,18,1000,380289.5773951095,3802.895773951095,1.0,293.10906358321023
full_value,100,50,2.0,2,1.0,0.04,19,1000,377213.0672675,3772.130672675,1.0,221.660966362472
full_value,100,50,2.0,2,1.0,0.04,20,1000,386196.6152397629,3861.966152397629,1.0,259.7031158122346
full_value,100,50,2.0,2,1.0,0.04,21,1000,377805.78650682134,3778.0578650682132,1.0,249.7205374544561
full_value,100,50,2.0,2,1.0,0.04,22,1000,380635.91380945576,3806.3591380945577,1.0,255.23557464692857
full_value,100,50,2.0,2,1.0,0.04,23,1000,383147.3803942196,3831.473803942196,1.0,269.99986114080326
full_value,100,50,2.0,2,1.0,0.04,24,1000,383590.5738549958,3835.9057385499577,1.0,239.11348106739712
full_value,100,50,2.0,2,1.0,0.04,25,1000,383097.91596692376,3830.9791596692376,1.0,264.85693329891853
full_value,100,50,2.0,2,1.0,0.04,26,1000,380557.35452393454,3805.5735452393455,1.0,288.31812853851335
full_value,100,50,2.0,2,1.0,0.04,27,1000,379055.4074569351,3790.554074569351,1.0,251.23528171761672
full_value,100,50,2.0,2,1.0,0.04,28,1000,385184.25257552933,3851.8425257552935,1.0,256.75763834629777
full_value,100,50,2.0,2,1.0,0.04,29,1000,386873.665840601,3868.73665840601,1.0,265.31952056242073
full_value,100,50,2.0,2,1.0,0.04,30,1000,380742.8147104309,3807.428147104309,1.0,273.810831524189
full_value,100,50,2.0,2,1.0,0.04,31,1000,380406.61035579466,3804.0661035579465,1.0,281.60891510927945
full_value,100,50,2.0,2,1.0,0.04,32,1000,383259.3234139846,3832.593234139846,1.0,278.5960675757515
full_value,100,50,2.0,2,1.0,0.04,33,1000,381895.12856081105,3818.9512856081105,1.0,281.1541119086443
full_value,100,50,2.0,2,1.0,0.04,34,1000,377374.2237638481,3773.7422376384807,1.0,287.5604718093808
full_value,100,50,2.0,2,1.0,0.04,35,1000,381498.3811257786,3814.983811257786,1.0,268.97604595455874
full_value,100,50,2.0,2,1.0,0.04,36,1000,377986.88674399955,3779.8688674399955,1.0,297.1387205810177
full_value,100,50,2.0,2,1.0,0.04,37,1000,382633.25086308847,3826.3325086308846,1.0,277.2764248437956
